Code,State,Year,Num
AL,Alabama,2014,2
AL,Alabama,2015,4
AL,Alabama,2016,15
AL,Alabama,2017,7
AL,Alabama,2018,14
AL,Alabama,2019,12
AL,Alabama,2020,11
AL,Alabama,2021,23
AL,Alabama,2022,16
AK,Alaska,2014,1
AK,Alaska,2015,0
AK,Alaska,2016,0
AK,Alaska,2017,0
AK,Alaska,2018,0
AK,Alaska,2019,0
AK,Alaska,2020,3
AK,Alaska,2021,1
AK,Alaska,2022,0
AZ,Arizona,2014,1
AZ,Arizona,2015,6
AZ,Arizona,2016,4
AZ,Arizona,2017,5
AZ,Arizona,2018,2
AZ,Arizona,2019,5
AZ,Arizona,2020,4
AZ,Arizona,2021,5
AZ,Arizona,2022,13
AR,Arkansas,2014,2
AR,Arkansas,2015,2
AR,Arkansas,2016,3
AR,Arkansas,2017,3
AR,Arkansas,2018,6
AR,Arkansas,2019,5
AR,Arkansas,2020,14
AR,Arkansas,2021,5
AR,Arkansas,2022,5
CA,California,2014,41
CA,California,2015,27
CA,California,2016,46
CA,California,2017,38
CA,California,2018,35
CA,California,2019,49
CA,California,2020,39
CA,California,2021,45
CA,California,2022,49
CO,Colorado,2014,2
CO,Colorado,2015,3
CO,Colorado,2016,4
CO,Colorado,2017,2
CO,Colorado,2018,8
CO,Colorado,2019,5
CO,Colorado,2020,11
CO,Colorado,2021,13
CO,Colorado,2022,13
CT,Connecticut,2014,1
CT,Connecticut,2015,2
CT,Connecticut,2016,6
CT,Connecticut,2017,2
CT,Connecticut,2018,2
CT,Connecticut,2019,3
CT,Connecticut,2020,7
CT,Connecticut,2021,2
CT,Connecticut,2022,3
DE,Delaware,2014,0
DE,Delaware,2015,1
DE,Delaware,2016,2
DE,Delaware,2017,1
DE,Delaware,2018,1
DE,Delaware,2019,2
DE,Delaware,2020,3
DE,Delaware,2021,6
DE,Delaware,2022,1
FL,Florida,2014,17
FL,Florida,2015,26
FL,Florida,2016,30
FL,Florida,2017,24
FL,Florida,2018,30
FL,Florida,2019,15
FL,Florida,2020,34
FL,Florida,2021,31
FL,Florida,2022,31
GA,Georgia,2014,17
GA,Georgia,2015,20
GA,Georgia,2016,17
GA,Georgia,2017,9
GA,Georgia,2018,8
GA,Georgia,2019,19
GA,Georgia,2020,17
GA,Georgia,2021,22
GA,Georgia,2022,29
ID,Idaho,2014,0
ID,Idaho,2015,0
ID,Idaho,2016,0
ID,Idaho,2017,0
ID,Idaho,2018,0
ID,Idaho,2019,0
ID,Idaho,2020,1
ID,Idaho,2021,1
ID,Idaho,2022,0
IL,Illinois,2014,26
IL,Illinois,2015,25
IL,Illinois,2016,42
IL,Illinois,2017,37
IL,Illinois,2018,35
IL,Illinois,2019,41
IL,Illinois,2020,68
IL,Illinois,2021,86
IL,Illinois,2022,57
IN,Indiana,2014,8
IN,Indiana,2015,9
IN,Indiana,2016,8
IN,Indiana,2017,7
IN,Indiana,2018,6
IN,Indiana,2019,10
IN,Indiana,2020,7
IN,Indiana,2021,14
IN,Indiana,2022,15
IA,Iowa,2014,0
IA,Iowa,2015,2
IA,Iowa,2016,0
IA,Iowa,2017,2
IA,Iowa,2018,0
IA,Iowa,2019,3
IA,Iowa,2020,4
IA,Iowa,2021,5
IA,Iowa,2022,2
KS,Kansas,2014,0
KS,Kansas,2015,1
KS,Kansas,2016,5
KS,Kansas,2017,4
KS,Kansas,2018,2
KS,Kansas,2019,4
KS,Kansas,2020,2
KS,Kansas,2021,2
KS,Kansas,2022,3
KY,Kentucky,2014,4
KY,Kentucky,2015,4
KY,Kentucky,2016,2
KY,Kentucky,2017,6
KY,Kentucky,2018,4
KY,Kentucky,2019,5
KY,Kentucky,2020,10
KY,Kentucky,2021,4
KY,Kentucky,2022,9
LA,Louisiana,2014,11
LA,Louisiana,2015,15
LA,Louisiana,2016,14
LA,Louisiana,2017,15
LA,Louisiana,2018,13
LA,Louisiana,2019,26
LA,Louisiana,2020,27
LA,Louisiana,2021,32
LA,Louisiana,2022,28
ME,Maine,2014,1
ME,Maine,2015,0
ME,Maine,2016,0
ME,Maine,2017,1
ME,Maine,2018,0
ME,Maine,2019,0
ME,Maine,2020,1
ME,Maine,2021,0
ME,Maine,2022,0
MD,Maryland,2014,1
MD,Maryland,2015,13
MD,Maryland,2016,11
MD,Maryland,2017,8
MD,Maryland,2018,9
MD,Maryland,2019,20
MD,Maryland,2020,18
MD,Maryland,2021,20
MD,Maryland,2022,19
MA,Massachusetts,2014,4
MA,Massachusetts,2015,5
MA,Massachusetts,2016,3
MA,Massachusetts,2017,1
MA,Massachusetts,2018,1
MA,Massachusetts,2019,5
MA,Massachusetts,2020,8
MA,Massachusetts,2021,4
MA,Massachusetts,2022,3
MI,Michigan,2014,10
MI,Michigan,2015,11
MI,Michigan,2016,11
MI,Michigan,2017,8
MI,Michigan,2018,8
MI,Michigan,2019,9
MI,Michigan,2020,21
MI,Michigan,2021,26
MI,Michigan,2022,25
MN,Minnesota,2014,1
MN,Minnesota,2015,5
MN,Minnesota,2016,5
MN,Minnesota,2017,4
MN,Minnesota,2018,3
MN,Minnesota,2019,2
MN,Minnesota,2020,6
MN,Minnesota,2021,11
MN,Minnesota,2022,12
MS,Mississippi,2014,5
MS,Mississippi,2015,2
MS,Mississippi,2016,6
MS,Mississippi,2017,12
MS,Mississippi,2018,3
MS,Mississippi,2019,6
MS,Mississippi,2020,17
MS,Mississippi,2021,13
MS,Mississippi,2022,14
MO,Missouri,2014,8
MO,Missouri,2015,13
MO,Missouri,2016,10
MO,Missouri,2017,10
MO,Missouri,2018,14
MO,Missouri,2019,18
MO,Missouri,2020,22
MO,Missouri,2021,16
MO,Missouri,2022,14
MT,Montana,2014,0
MT,Montana,2015,1
MT,Montana,2016,0
MT,Montana,2017,1
MT,Montana,2018,0
